Acronym,Publication Title
ICBM,"Management of Mobile Business (ICBM), 2007 6th International Conference on the"
ICC,"Communications, 2007 IEEE International Conference on"
ICCA,"Control and Automation, 2007 IEEE International Conference on"
ICCAD,"Computer-Aided Design Digest of Technical Papers, IEEE/ACM International Conference on"
ICCAS,"Control, Automation and Systems, 2007 International Conference on"
ICCBSS,"Commerical-off-the-Shelf (COTS) Based Software Sstems, 2006 5th International Conference"
ICCC,"Computational Cybernetics, 2006 IEEE International Conference on"
ICCCAS,"Communications, Circuits and Systems, 2006 International Conference on"
ICCCE,"Computer and Communication Engineering, 2008 International Conference on"
ICCD,"Computer Design, Proceedings 2006 International Conference on"
ICCDCS,"Devices, Circuits and Systems, 2006 International Caribbean Conference on"
ICCE,"Consumer Electronics, 2007 Digest of Technical Papers International Conference on"
ICCEP,"Clean Electrical Power, 2007 International Conference on"
ICCES,"Computer Engineering & Systems, 2006 International Conference on"
ICCGI,"Computing in Global Information Technology (ICCGI), 2006 International Multi-Conference on"
ICCI,"Cognitive Informatics, 2006 5th IEEE International Conference on"
ICCIMA,"Computational Intelligence and Multimedia, 2005 6th International Conference on"
ICCIT,"Computer and Information Technology, 2007 10th International Conference on"
ICCP,"Intelligent Computer Communication and Processing, 2007 IEEE International Conference on"
ICCS,"Communication Systems, 2006 10th IEEE Singapore International Conference on"
ICCSA,"Computational Science and Applications, 2007 5th International Confernce on"
ICCSC,"Circuits and Systems for Communications, 2008 4th IEEE International Conference on"
ICCST,"Carnahan Conference on Security Technology, Proceedings 41st Annual 2007 International"
ICCT,"Communication Technology, 2006 International Conference on"
ICCTA,"Computing: Theory and Applications (ICCTA), 2007 International Conference on"
ICCV,"Computer Vision (ICCV 2005), 10th IEEE International Conference on"
ICDAR,"Document Analysis and Recognition, 2007 9th International Conference on"
ICDCS,"Distributed Computing Systems (ICDCS), Proceedings 2006 IEEE International Conference on"
ICDCS Wkshp,"Distributed Computing Systems - Workshops, 25th International Conference on  (ICDCS 2005 Workshops)"
ICDCS Wkshps Su,"Distributed Computing Systems - Workshops: Supplement (ICDCS Workshops 2007 Supplement), 2007 27th International Conference"
ICDCS WKSP,"Distributed Computing Systems Workshops (ICDCS Workshop), Proceeding 2006 26th IEEE International Conference on"
ICDCS Workshops,"Distributed Computing Systems Workshops (ICDCS Workshops), 2007 27th International Conference on"
ICDE,"Data Engineering (ICDE 2007), 2007 IEEE 23rd International Conference on"
ICDE Wkshp,"Data Engineering Workshop, 2007 IEEE 23rd International Conference on"
ICDE WKSP,"Data Engineering Workshops (ICDE workshop), 2006 22nd International Conference on"
ICDIM,"Digital Information Management, 2006 1st International Conference on"
ICDL,"Development and Learning, 2007 IEEE 6th International Conference on"
ICDM,"Data Mining, 6th IEEE International Conference on"
ICDM Wkshp,"Data Mining Workshops (ICDM Workshops), 2006 6th IEEE International Conference on"
ICDM Workshops,"Data Mining - Workshops (ICDM Workshops), 2007 Seventh IEEE International Conference on"
ICDS,"Digital Society (ICDS), 2007 1st International Conference on"
ICDSC,"Distributed Smart Cameras, 2007 First ACM/IEEE International Conference on"
ICDT,"Digital Telecommunications (ICDT), 2006 International Conference on"
ICEAA,"Electromagnetics in Advanced Applications, 2007 International Conference on"
ICEBE,"e-Business Engineering (ICEBE), 2006 IEEE International Conference on"
ICECCS,"Engineering of Complex Systems (ICECCS 2006), 2006 11th IEEE International Conference on"
ICECE,"Electrical and Computer Engineering, 2006 International Conference on"
ICECom,"Applied Electromagnetics and Communications, 2007 19th International Conference on"
ICECS,"Electronics, Circuits and Systems, 2006 13th IEEE International Conference on"
ICEE,"Electrical Engineering, 2007 International Conference on"
ICEEE,"Electrical and Electronics Engineering, 2007 4th International Conference on"
ICEFA,"Electric Fuses and their Applications, 2007 Proceedings of the 8th Intl Conf on"
ICEIS,"Engineering of Intelligent Systems, 2006 IEEE International Conference on"
ICELIE,"E-Learning in Industrial Electronics, 2006 1ST IEEE International Conference on"
ICEM,"Electrical Machines, 2006 Proceedings of the XVII International Conference on"
ICEMI,"Electronic Measurement & Instruments, 2007 8th International Conference on"
ICEMS,"Electrical Machines and Systems, 2007 International Conference on"
ICEPT,"Electronic Packaging Technology, 2007 8th International Conference on"
ICET,"Emerging Technologies, 2006 International Conference on"
ICGSE,"Global Software Engineering (ICGSE), 2006 1st IEEE International Conference"
ICHIT,"Hybrid Information Technology (ICHIT), 2006 International Confernce on"
ICHQP,"Harmonics and Quality of Power (ICHQP), 2008 13th International Conference on"
ICI,"Internet, 2006 2nd IEEE/IFIP International Conference in Central Asia on"
ICIA,"Information Acquisition, 2006 International Conference on"
ICIAFS,"Information and Automation for Sustainability, 2007 Third International Conference on"
ICIAP,"Image Anaylsis & Processing, 2007 14th International Conference on"
ICIAPW,"Image Analysis and Processing Workshops, 2007 International Conference on"
ICIAS,"Intelligent and Advanced Systems, 2007 International Conference on"
ICIASF,"Instrumentation in Aerospace Simulation Facilities, 2005 21st International Congress on"
ICICDT,"IC Design & Technology, 2007 IEEE International Conference on"
ICICIC,"Innovative Computing Information and Control (ICICIC), 2006 1st Internatonal Conference on"
ICICS,"Information, Communications & Signal Processing, 2007 6th International Conference on"
ICICSE,"Internet Computing in Science and Engineering, 2008 International Conference on"
ICICT,"Information & Communications Technology, 2007 ITI 5th International Conference on"
ICIEA,"Industrial Electronics and Applications, 2007 2nd IEEE Conference on"
ICIECA,"Industrial Electronics and Control Applications (ICIECA), 2005 International Conference on"
ICIET,"Information and Emerging Technologies, 2007 International Conference on"
ICIG,"Image and Graphics, 2007 4th International Conference on"
ICIIS,"Industrial and Information Systems, 2006 International Conference on"
ICIMP,"Internet Monitoring and Protection, 2007 2nd International Conference on"
ICIP,"Image Processing, 2006 IEEE International Conference on"
ICIS,"Computer & Information Science (ICIS), 2007 International Conference on"
ICISIP,"Intelligent Sensing and Information Processing, 2005 3rd International Conference on"
ICISP,"Internet Surveillance and Protection (ICISP), 2006 International Conference on"
ICISS,"Information Science and Security (ICISS), 2008 International Conference on"
ICIT,"Information Technology, 2006 9th International Conference on"
ICIW,"Internet and Web Applications and Services (ICIW), 2007 2nd International Conference on"
ICKS,"Informatics Research for Development of Knowledge Society Infrastructure, 2007 International Conference on"
ICM,"Microelectronics, 2006 International Conference on"
ICMA,"Mechatronics and Automation, 2006 International Conference on"
ICMB,"Mobile Business (ICMB), 2006 International Conference on"
ICME,"Multimedia and Expo, 2007 IEEE International Conference on"
ICMENS,"MEMS, NANO, and Smart Systems, 2006 International Conference on"
ICMIT,"Management of Innovation & Technology, 2006 IEEE International Conference on"
ICMLA,"Machine Learning and Applications (ICMLA), 2006 International Conference on"
ICMLC,"Machine Learning and Cybernetics, Proceedings of 2006 International Conference on"
ICMMT,"Microwave and Millimeter Wave Technology, 2007 International Conference on"
ICMSE,"Management Science and Engineering, 2006 International Conference on"
ICMTS,"Microelectronics Test Structures, 2007 IEEE International Conference on"
ICMV,"Machine Vision, 2007 International Conference on"
ICN,"Networking (ICN), 2007 IEEE 6th International Conference on"
ICN/ICONS,"Networking and the International Conference on Systems (ICN/ICONS), 2006 5th International Conference on"
ICNC,"Natural Computation (ICNC), 2007 International Conference on"
ICNLP,"Natural Language Processing and Knowledge Engineering, 2005 International Conference  on"
ICNNB,"Neural Networks and Brain (ICNNB),  2005 International Conference on"
ICNP,"Network Protocols, Proceedings of the 2006 IEEE International Conference on"
ICNS,"Networking and Services (ICNS), 2006 International Conference on"
ICNSC,"Networking, Sensing and Control (ICNSC), 2006 IEEE Intl"
ICOCI,"Computing & Informatics, 2006 International Conference on"
ICOIN,"Information Networking, 2008 The International Conference on"
ICON,"Networks, 2006 14th IEEE International Conference on"
ICONN,"Nanoscience and Nanotechnology, 2006 International Conference on"
ICONS,"Systems (ICONS), 2007 2nd International Conference on"
ICOPS,"Plasma Science, IEEE Conference Record - Abstracts 2007 IEEE International Conference on"
ICORR,"Rehabilitation Robotics, 2007 IEEE 10th International Conference on"
ICPADM,"Properties & Applications of Dielectric Materials, 2006 IEEE 8th International Conference on"
ICPADS,"Parallel and Distributed Systems (ICPADS), 2006 12th International Conference on"
ICPC,"Program Comprehension (ICPC), 2006 14th International Conference on"
ICPCA,"Pervasive Computing and Applications, 2007 2nd International Conference on"
ICPESA,"Power Electronics Systems and Applications, 2006 2nd International Conference on"
ICPP,"Parallel Processing (ICPP), 2006 International Conference on"
ICPP WKSHP,"Parallel Processing Workshops (ICPP 2006 workshops), 2006 International Conference on"
ICPR,"Pattern Recognition (ICPR), 2006 18th International Conference on"
ICPS,"Pervasive Services, 2006 ACS/IEEE International Conference on"
ICPWC,"Personal Wireless Communications, 2005 International Conference on"
ICQNM,"Quantum, Nano and Micro Technologies, 2008 Second International Conference on"
ICRA,"Robotics and Automation, 2005 IEEE International Conference on"
ICRE,"Requirements Engineering, 2005 13th IEEE International Conference on"
ICSC,"Semantic Computing (ICSC), 2007 1st IEEE International Conference on"
ICSCN,"Signal Processing, Communications and Networking, 2007 International Conference on"
ICSD,"Solid Dielectrics, 2007 IEEE International Conference on"
ICSE,"Semiconductor Electronics, 2006 IEEE International Conference on"
ICSEA,"Software Engineering Advances (ICSEA), 2006 International Conferenc on"
ICSE-Companion,"Software Engineering-Companion Volume, 2007 29th International Conference on"
ICSEM,"Systems Engineering and Modeling, 2007 International Conference on"
ICSES,"Signals and Electronic Systems (ICSES), 2008 International Conference on"
ICSET,"Sustainable Energy Technologies, 2008 IEEE International Conference on"
ICSICT,"Solid State and Integrated Circuits Technology (ICSICT), 2006 8th International Conference on"
ICSM,"Software Maintenance (ICSM), 2007 IEEE International Conference on"
ICSMA,"Smart Manufacturing Application, 2008 International Conference on"
ICSNC,"Systems and Networks Communications (ICSNC), 2006 International Conference on"
ICSP,"Signal Processing, 2006 8th International Conference on"
ICSPC,"Signal Processing and Communications, 2007 IEEE International Conference on"
ICSSM,"Service Systems and Service Management, 2007 International Conference on"
ICSSSM,"Service Systems and Service Management, 2006 International Conference on"
ICST,"Software Testing, Verification and Validation, 2008 1st IEEE International Conference on"
ICT,"Thermoelectrics (ICT 2005),  2005 24th International Conference on"
ICTAI,"Tools with Artificial Intelligence (ICTAI), 2006 IEEE Conference on"
ICTD,"Information and Communication Technologies and Development, 2007 International Conference on"
ICT-MICC,"Telecommunications & Malaysia International Conference on Communications, 2007 IEEE International Conf. on"
ICTON,"Transparent Optical Networks, 2006 International Conference on"
ICTTA,"Information & Communication Technologies, 2006 2nd International Conference on"
ICU,"Ultra-Wideband, 2005 IEEE International Conference on"
ICUWB,"Ultra-Wideband, 2007 IEEE International Conference on"
ICVE,"Vacuum Electronics Conference, 2007 IEEE International"
ICVES,"Vehicular Electronics and Safety, 2006 IEEE International Conference on"
ICVS,"Computer Vision Systems (ICVS), Proceedings 2006 IEEE International Conference on"
ICWAPR,"Wavelet Analysis and Pattern Recognition, 2007 International Conference on"
ICWMC,"Wireless and Mobile Communications (ICWMC), 2006 International Conference on"
ICWS,"Web Services (ICWS), 2006 IEEE International Conference on"
IDAACS,"Intelligent Data Acquisition and Advanced Computing Systems Technology and Applications, 2005"
IDC,"Information Decision and Control (IDC), 2007"
IDEAS,"Database Engineering and Applications Symposium (IDEAS), 2006 10th International"
IDT,"Design and Test Workshop, 2007 2nd International"
IECON,"Industrial Electronics IECON, 2005 - 31st Annual Conference of IEEE"
IEDM,"Electron Devices Meeting (IEDM), 2006 IEEE International"
IEEE,"LEOS Summer Topical Meetings, 2008 Digest of the"
IEEE-NANO,"Nanotechnology, 2007 7th IEEE Conference on"
IEEM,"Industrial Engineering and Engineering Management, 2007 IEEE International Conference on"
IEMC,"Engineering Management Conference, 2005 IEEE International"
IEMDC,"Electric Machines & Drives Conference, 2005 IEEE International"
IEMT,"Electronics Manufacturing Technology Symposium, 2006 Thirty-First IEEE/CPMT International"
IFOST,"Strategic Technology, 2006 International Forum on"
IGARSS,"Geoscience and Remote Sensing Symposium, 2005 IEEE International"
IIHMSP,"Intelligent Information Hiding and Multimedia Signal Processing (IIHMSP 2007), 2007 Third International Conference on"
IIH-MSP,"Intelligent Information Hiding and Multimedia Signal Processing (IIH-MSP), 2006 International Conference on"
IISWC,"Workload Characterization (IISWC), 2005 IEEE 8th International Symposium on"
IITA,"Intelligent Information Technology Application, 2007 Workshop on"
IITC,"Interconnect Technology Conference, 2007 IEEE International"
IJCNN,"Neural Network Proceedings, The 2006 IEEE International Joint Conference on"
IM,"Integrated Network Management, 2007 10th IFIP/IEEE International Symposium on"
IMOC,"Microwave and Optoelectronics Conference, 2007 SBMO/IEEE MTT-S International"
IMPACT,"Microsystems, Package, Assembly Conference Taiwan, 2006 International"
IMS,"Measurement Systems for Homeland Security, Contraband Detection & Personal Safety, 2006 IEEE International Workshop on"
IMSCCS,"Computer and Computational Sciences (IMSCCS), 2006 International Multi-Symposium on"
IMTC,"Instrumentation and Measurement Technology Conference Proceedings, 2007 IEEE"
IMVIP,"Machine Vision and Image Processing Conference, 2007 International"
INCC,"Networking and Communications Conference, 2008 IEEE International"
INDICON,"India Conference, 2006 Annual IEEE"
INDIN,"Industrial Informatics, 2005 3rd IEEE International Conference on"
INES,"Intelligent Engineering Systems, 2006 International Conference on"
INFOCOM,INFOCOM 2005
INFOVIS,"Information Visualization, 2005 IEEE Symposium on"
INICA,"Antenna, INICA 2007 International Conference on"
INMIC,"Multitopic Conference, 2006 IEEE International"
INMMIC,"Integrated Nonlinear Microwave and Millimetre-Wave Circuits, 2006 International Workshop on"
Innovations,"Innovations in Information Technologies, 2007"
i-NOW,"Nano-Optoelectronics Workshop, 2007 International"
INSS,"Networked Sensing Systems Technical Digest, 2007 Fourth International Conf"
INTELEC,"Telecommunications Energy Conference, INTELEC 06 - Twenty-Eighth International"
IOLTS,"On-Line Testing Symposium (IOLTS), 2006 IEEE International"
IPC,"Intelligent Pervasive Computing, 2007 International Conference on"
IPCC,"Professional Communication Conference, 2007 IEEE International"
IPCCC,"Performance Computing and Communications Conference, 2006 IEEE International"
IPDPS,"Parallel & Distributed Processing Symposium (IPDPS), 2007 IEEE International"
IPEC,"IPEC, 2007 Conference Proceedings"
IPEMC,"Power Electronics and Motion Control Conference, 2006 5th International"
IPFA,"Physical and Failure Analysis of Integrated Circuit, 2007 14th International Symposium on the"
IPMC,"Power Modulator Conference, 2008 IEEE International"
IPRM,"Indium Phosphide and Related Materials, 2007 International Conference on"
IPSN,"Information Processing in Sensor Networks, Proceedings of the Sixth International Symposium on"
IRI,"Information Reuse & Integration, 2006 IEEE International Conference on"
IRMMW-THz,"Infrared, Millimeter and Terahertz Waves, 2008 33rd International Conference on"
IROS,"Intelligent Robots and Systems, 2005 IEEE/RSJ International Conference on"
IRPS,"Reliability Physics Symposium Proceedings, 2007 IEEE International"
IRS,"Radar Symposium IRS, 2008 Proceedings International"
IRT,"Interactive Ray Tracing, 2006 IEEE Symposium on"
IRW,"Integrated Reliability Workshop Final Report, 2007 IEEE International"
IRWS,"Integrated Reliability Workshop Final Report, 2006 IEEE International"
IS,"Intelligent Systems, 2008 4th International IEEE Conference"
ISA,"Information Security and Assurance, 2008 International Conference on"
ISADS,"Autonomous Decentralized Systems (ISADS 2007), 2007 International Symposium on"
ISAF,"Applications of Ferroelectrics, 2006 15th IEEE International Symposium on"
ISAHUC,"Ad Hoc and Ubiquitous Computing, 2006 International Symposium on"
ISAM,"Assembly and Manufacturing, 2007 IEEE International Symposium on"
ISAP,"Intelligent Systems Applications to Power Systems, 2005 International Conference on"
ISAPE,"Antennas, Propagation & EM Theory, 2006 7th International Symposium on"
ISATP,"Assembly and Task Planning, 2005 IEEE International Symposium on"
ISBI,"Biomedical Imaging:  Macro to Nano, 2006 3rd IEEE International Symposium on"
ISCA,"Computer Architecture, 32nd International Symposium on  (ISCA 2005)"
ISCAS,"Circuits and Systems, Proceedings of 2007 IEEE International Symposium on"
ISCC,"Computers and Communications, 2005 10th IEEE Symposium on"
ISCCSP,"Communications, Control and Signal Processing, 2008 3rd International Symposium on"
ISCE,"Consumer Electronics, 2006 IEEE International Symposium on"
ISCIII,"Computational Intelligence and Intelligent Informatics, 2007 International Symposium on"
ISCIS,"Computer and Information Sciences, 2007 22nd International Symposium on"
ISCIT,"Communications and Information Technologies, 2007 International Symposium on"
ISCN,"Computer Networks, 2006 International Symposium on"
ISDA,"Intelligent Systems Designs and Applications (ISDA 2006), 6th International Conference on"
ISDEIV,"Discharges & Electrical Insulation in Vacuum, 2006 XXII International Symposium on"
ISDPE,"Data, Privacy and E-commerce (ISDPE), 2007 First International Symposium on"
ISDRS,"Semiconductor Device Research Symposium (ISDRS), 2005 International"
ISE,"Electrets, 2005 12th International Symposium on"
ISEE,"Electronics and the Environment, 2005 IEEE International Symposium on"
ISEI,"Electrical Insulation, Conference Record of the 2006 IEEE International Symposium on"
ISEIM,"Environment Identities and Mediterranean Area, 2006 First International Symposium on"
ISESE,"Empirical Software Engineering, 2005 International Symposium on"
ISI,"Intelligence and Security Informatics, 2007 IEEE"
ISIC,"Intelligent Control, Proceedings of the 2007 IEEE International Symposium on"
ISIE,"Industrial Electronics, 2005 IEEE International Symposium on"
ISIP,"Information Processing, 2008 International Symposiums on"
ISIT,"Information Theory, 2005 IEEE International Symposium on"
ISITA,"Information Theory and its Applications, 2008 International Symposium on"
ISITAE,"Information Technologies and Applications in Education,2007 First IEEE International Symposium on"
ISITC,"Information Technology Convergence (ISITC), 2007 International Symposium on"
ISKE,"Intelligent System and Knowledge Engineering, 2008 3rd International Conference on"
ISLC,"Semiconductor Laser Conference, 2006 IEEE 20th International"
ISLPED,"Low Power Electronics and Design, 2006 Proceedings of the International Symposium on"
ISM,"Multimedia (ISM), 2006 IEEE International Symposium on"
ISM Workshops,"Multimedia - Workshops, 2007 Ninth IEEE International Symposium on"
ISMA,"Mechatronics and its Applications, 2008 5th International Symposium on"
ISMAR,"Mixed and Augmented Reality (ISMAR), 2006 IEEE/ACM International Symposium on"
ISMVL,"Multiple-Valued Logic, 2006 International Symposium on"
ISNCC,"Nonsinusoidal Currents and Compensation, 2008 International School on"
ISoLA,"Leveraging Applications of Formal Methods, Verification and Validation (ISoLA), 2006 Second International Symposium on"
ISORC,"Object Oriented Real-Time Distributed Computing (ISORC), 2006 IEEE 9th Symposium on"
ISPA,"Image and Signal Processing and Analysis, Proceedings of the 5th International Symposium on"
ISPACS,"Intelligent Signal Processing and Communications, 2006 International Symposium on"
I-SPAN,"Parallel Architectures, Algorithms, and Networks, 2008 International Symposium on"
ISPASS,"Performance Analysis of Systems & Software, 2006 IEEE International Symposium on"
ISPCS,"Precision Clock Synchronization for Measurement, Control and Communication, 2007 IEEE International Symposium on"
ISPDC,"Parallel and Distributed Computing (ISPDC), 2006 5th International Symposium on"
ISPLC,"Power Line Communications and Its Applications, 2006 IEEE Intl Symp on"
ISPSD,"Power Semiconductor Devices & IC's, 2007 International Symposium on"
ISQED,"Quality Electronic Design, 2006 7th International Symposium  (ISQED)"
ISSCAA,"Systems and Control in Aerospace and Astronautics, 2006 1st International Symposium on"
ISSCC,"Solid-State Circuits Conference, 2005 IEEE International"
ISSCS,"Signals, Circuits and Systems, 2007 International Symposium on"
ISSE,"Electronics Technology, 2006 29th International Spring Seminar on"
ISSM,"Semiconductor Manufacturing, 2006 IEEE International Symposium on"
ISSNIP,"Intelligent Sensors, Sensor Networks and Information Processing, 2005 International Conference on"
ISSPA,"Signal Processing and its Applications, 2007 9th International Symposium on"
ISSPIT,"Signal Processing and Information Technology, 2006 IEEE International Symposium on"
ISSRE,"Software Reliability Engineering (ISSRE), 2006 17th IEEE International Symposium on"
ISSSE,"Signals, Systems and Electronics, 2007 Intl Symp on"
ISSS-MDBS,"Medical Devices and Biosensors, 2007 4th IEEE/EMBS International Summer School and Symposium on"
ISSSTA,"Spread Spectrum Techniques and Applications, 2006 IEEE 9th International Symposium on"
IST,"Imaging Systems and Techniques, 2006 IEEE International Workshop on"
ISTAS,"Technology and Society, 2006 IEEE International Symposium on"
ISTDM,"SiGe Technology and Device Meeting, 2006 International"
ISVD,"Voronoi Diagrams in Science (ISVD), 2006 3rd International Symposium on"
ISVLSI,"VLSI (ISVLSI), Proceedings 2006 IEEE Computer Society Annual Symposium on"
ISWC,"Wearable Computers (ISWC), 2006 10th IEEE International Symposium on"
ISWCS,"Wireless Communication Systems, 2006 3rd International Symposium on"
ISWPC,"Wireless Pervasive Computing, 2007 2nd International Symposium on"
IT,"Information Technology (IT), 2008 1st International Conference on"
ITA,"Information Theory and Applications Workshop, 2007"
ITAB,"Information Technology Applications in Biomedicine, 2007 6th International Special Topic Conference on"
ITC,"Test Conference, 2005 IEEE International"
ITCC,"Information Technology: Coding and Computing, Intl Conf on  (ITCC 2005)"
ITHERM,"Thermal and Thermomechanical Phenomena in Electronic Systems (I-THERM), 2006 10th IEEE Intersociety Conference"
I-THERM,"Thermal and Thermomechanical Phenomena in Electronic Systems, 2008 11th IEEE Intersociety Conference on"
ITHET,"Information Technology Based Higher Education and Training, 2006 7th International Conference on"
ITI,"Information Technology Interfaces, ITI 2006 Proceedings of the 28th International Conference on"
IT-NEWS,"Telecommunication Networking Workshop on QoS in Multiservice IP Networks, 2008 4th International"
ITNG,"Information Technology New Generations (ITNG), 2007 4th International Conference on"
ITRE,"Information Technology: Research and Education, 2006 International Conference on"
ITS,"Telecommunication Symposium, 2006 Proceedings of International"
ITSC,"Intelligent Transportation Systems Conference, 2007 IEEE"
ITST,"ITS Telecommunications, 2006 6th International Conference on"
ITW,"Information Theory Workshop (ITW), 2006 IEEE"
IV,"Intelligent Vehicles Symposium, 2007 IEEE"
IV 2007 Supplemen,"Information Visualisation: Supplement (IV 2007 Supplement), 2007 11th International Conference"
IVEC,"Vacuum Electronics Conference, 2008 IEEE International"
IVMC,"Vacuum Nanoelectronics Conference, 2007 IEEE 20th International"
IWADS,"Autonomous Decentralized Systems, 2005 International Symposium on"
IWAGPR,"Advanced Ground Penetrating Radar, 2007 4th International Workshop on"
IWAISE,"Advanced Information Systems for Enterprises, 2008 International Workshop on"
IWASI,"Advances in Sensors and Interface, 2007 2nd International Workshop on"
IWAT,"Antenna Technology, 2007 International Workshop on"
IWCLD,"Cross Layer Design, 2007 International Workshop on"
IWCMC,"Wireless Communications and Mobile Computing Conference, 2008 International"
IWIA,"Innovative Architecture for Future Generation High Performance, 2005 Intl Workshop on"
IWICSS,"Incorporating COTS Software into Software Systems (IWICSS 2007), 2007 Second International Workshop on"
IWJIT,"Junction Technology, 2007 International Workshop on"
IWJT,"Junction Technology (IWJT), 2006 International Workshop"
IWNAS,"Networking Architecture and Storages (IWNAS), 2006 International Workshop on"
IWNC,"Nano CMOS (IWNC), 2006 International Workshop on"
IWPC,"Program Comprehension (IWPC 2005), 13th International Workshop on"
IWPSD,"Physics of Semiconductor Devices, 2007 International Workshop on"
IWQOS,"Quality of Service, 2006 14th IEEE International Workshop on"
IWSDA,"Signal Design and Its Applications in Communications, 2007 3rd International Workshop on"
IWSOC,"System on Chip for Real Time Applications, 2006 6th International Workshop on"
IWSPM,"Software Product Management (IWSPM), 2006 International Workshop on"
IWSS,"Safety of Systems, 2008 2nd IEEE International Workshop on"
IWSSC,"Satellite and Space Communications, 2006 International Workshop on"
IWSSIP,"Systems, Signals & Image Processing, 2007 14th Intl Conf On Held With Speech & Image Processing, Multimedia Comm & Svcs, 2007"
IWVDVT,"VLSI Design and Video Technology, 2005 IEEE International Workshop on"
IWVR,"Virtual Rehabilitation, 2006 International Workshop on"
IZA,"Communications, 2006 International Zurich Seminar on"
IZS,"Communications, 2008 IEEE International Zurich Seminar on"
JCDL,"Digital Libraries, 2006 IEEE/ACM 6th Joint Conference on"
JVA,"Modern Computing (JVA), 2006 IEEE John Vincent Atanasoff International Symposium on"
KIMAS,"Integration of Knowledge Intensive Multi-Agent Systems, 2007 International Conference on"
KJMW,"Microwave Conference, 2007 Korea-Japan"
KORUS,"Russian-Korean International Symposium on Science and Technology, 2005"
LANMAN,"Local & Metroplitan Area Networks, 2007 15TH IEEE Workshop on"
LANOMS,"Network Operations and Management Symposium, 2007 Latin American"
LAPC,"Loughborough Antennas & Propagation Conference, 2007"
LA-WEB,"Web Congress, 4th Latin American"
LCN,"Local Computer Networks, Proceedings 2006 31st IEEE Conference on"
LCW,"Communications Workshop, 2008 IEEE Lebanon"
LEOS,"LEOS Summer Topical Meetings, 2007 Digest of the"
LESCOPE,"Large Engineering Systems Conference on Power Engineering, 2007"
LFNM,"Laser and Fiber-Optical Networks Modeling, 2006 International Workshop on"
LICS,"Logic in Computer Science, 2006 21st Annual IEEE Symposium on"
LINDI,"Logistics and Industrial Informatics, 2007 International Symposium on"
LISA,"Life Science Systems and Applications Workshop, 2007 IEEE/NIH"
LISAT,"Systems, Applications and Technology Conference, 2006 IEEE Long Island"
M2VIP,"Mechatronics and Machine Vision in Practice, 2007 14th International Conference on"
MAPE,"Microwave, Antenna, Propagation and EMC Technologies for Wireless Communications, 2007 International Symposium on"
MASCOTS,"Modeling Analysis and Simulation of Computer and Telecommunication Systems, 2006 IEEE International Symposium on"
MASS,"Mobile Adhoc and Sensor Systems (MASS), 2006 IEEE International Conference on"
MCDM,"Computational Intelligence in Multi-Criteria Decision-Making, 2007 IEEE Symposium on"
MCETECH,"e-Technologies, 2008 International MCETECH Conference on"
MCWC,"Mobile Computing and Wireless Communication International Conference, 2006 Proceedings of the First"
MDBS,"Medical Devices and Biosensors, 2008 5th International Summer School and Symposium on"
MDM,"Mobile Data Management (MDM), 2007 International Conference on"
MED,"Control and Automation, 2006 Proceedings of the 14th Mediterranean Conference on"
MediVis,"Medical Information Visualisation- Biomedical Visualisation (MediVis), 2007 International Conference on"
MEGAGUSS,"Magnetic Field Generation & Related Topics, 2006 IEEE International Conference on Megagauss"
MELECON,MELECON 2006 - 2006 IEEE Mediterranean Electrotechnical Conference
MEMEA,"Medical Measurement and Applications, 2006 IEEE International Workshop on"
MEMIA,"Microwave Electronics: Measurement, Identification, Applications, 2005 5th International Conference on"
MEMOCODE,"Formal Methods and Models for Co-Design, 2006 4TH IEEE/ACM International Conference on"
MEMS,"Micro Electro Mechanical Systems, Proceedings IEEE The Twentieth Annual International Conference on"
MEMS/MOEMS,"Design, Test, Integration & Packaging on MEMS/MOEMS, 2008 Symp on"
MEMSTECH,"Perspective Technologies and Methods in MEMS Design, Proceedings of the 3rd International Conference on"
MEPCON,"Power System Conference, 2008 12th International Middle East"
MeRE,"Multimedia Requirments Engineering Beyond Mere Descriptions (MeRE), 2006 1st International Workshop on"
MFI,"Multisensor Fusion and Integration for Intelligent Systems, 2006 IEEE International Conference on"
MHS,"Micro-NanoMechatronics and Human Science, 2005 IEEE International Symposium on"
MICAI,"Artificial Intelligence (MICAI), 2006 5th Mexican International Conference on"
MICC-ICON,"Communications and IEEE International Conference on Networks (MICC & ICON 2005),  2005 IEEE Malaysia International Conference"
MIC-CPE,"Communications, Propagation and Electronics, 2008 Mosharaka International Conference on"
MICRO,"Microarchitecture (MICRO), 2006 39th IEEE/ACM International Symposium on"
MICRORAD,"Microwave Radiometry and Remote Sensing of the Environment, 2008"
MIEL,"Microelectronics, 2006 25th International Conference on (MIEL)"
MIKON,"Microwaves, Radar & Wireless Communications - MIKON, 2006 International Conference on"
MILCOM,"MILITARY COMMUNICATIONS CONFERENCE, 2006 - MILCOM 2006"
MISE,"Modeling in Software Engineering (MISE 2007), 2007 International Workshop on"
MIXDES,"Mixed Design of Integrated Circuits and System, Proceedings of the 14th International Conference"
MLSP,"Machine Learning for Signal Processing, 2005 IEEE Workshop on"
MMB,"Microtechnologies in Medicine and Biology, 2006 International Conference on"
MMET,"Mathematical Methods in Electromagnetic Theory, 2006 International Conference on"
MMM,"Multi-Media Modeling (MMM 2005), 11th International Conference"
