Acronym,FullName,Organization,Id
GEFS,"Genetic and Evolving Fuzzy Systems, 2008 3rd International Workshop on",IEEE,338
GENSIPS,"Genomic Signal Processing and Statistics, 2006 IEEE International Workshop on",IEEE,339
GFP,"Group IV Photonics, 2007 4TH IEEE International Conference on",IEEE,340
GI,"Global Internet Symposium, 2007 IEEE",IEEE,341
GIIS,"Global Information Infrastructure Symposium, 2007 First International",IEEE,342
GLOBAL,"Global Telecommunications Conference, GLOBECOM 2006",IEEE,343
GLOBECOM,"Global Telecommunications Conference,  GLOBECOM 2005 - 2005 IEEE",IEEE,344
GLSVLSI,"VLSI, 2008 Great Lakes Symposium on",IEEE,345
GMAI,"Geometric Modeling and Imaging, 2007 International Conference on",IEEE,346
GPC Workshops,"Grid and Pervasive Computing Workshops (GPC Workshops), 2008 3rd International Conference on",IEEE,347
GRC,"Granular Computing, 2006 IEEE International Conference on",IEEE,348
GRID,"Grid Computing (GRID 2005), 2005 6th International Workshop on",IEEE,349
GSIS,"Grey Systems and Intelligent Services, 2007 IEEE International Conference on",IEEE,350
GSMM,"Millimeter Waves, 2008 Global Symposium on",IEEE,351
Haptics,"Haptic Interfaces for Virtual Environment and Teleoperator Systems, 2008 Symposium on",IEEE,352
HASE,"High-Assurance Systems Engineering (HASE), 2007 IEEE International Symposium on",IEEE,353
HAVE,"Haptic Audio Visual Environments and their Applications, 2006 IEEE International Workshop on",IEEE,354
HCMDSS-MD PnP,"High Confidence Medical Devices, Software, and Systems and Medical Device Plug-and-Play Interoperability, 2007 Joint Workshop on",IEEE,355
HDP,"High Density Design Packaging and Microsystem Integration, 2007 International Symposium on",IEEE,356
HEALTHCOM,"Enterprise Networking and Computing in Healthcare Industry, 2006 Workshop on",IEEE,357
HFPP,"Human Factors and Power Plants and HPRCT 13th Annual Meeting, 2007 IEEE 8th",IEEE,358
HICSS,"System Sciences (HICSS), Proceedings 2006 39th Annual Hawaii International Conference on",IEEE,359
HIS,"Hybrid Intelligent Systems (HIS), 2006 2nd International Conference on",IEEE,360
HLDVT,"High Level Design Validation and Test Workshop (HLDVT), 2006 IEEE International",IEEE,361
HOLM,Electrical Contacts - 2007 Proceedings of the 53rd IEEE Holm Conference on Electrical Contacts,IEEE,362
HONET,"High Capacity Optical Networks and Enabling Technologies, 2007 International Symposium on",IEEE,363
HOTI,"High-Performance Interconnects (HOTI), 2006 14th IEEE Symposium on",IEEE,364
HotMobile,"Mobile Computing Systems and Applications (HotMobile), 2007 8th IEEE Workshop on",IEEE,365
HotWeb,"Hot Topics in Web Systems and Technologies (HotWeb), 2006 1st IEEE Workshop on",IEEE,366
HPCA,"High Performance Computer Architecture (HPCA), 2007 IEEE 13th International Symposium on",IEEE,367
HPCMP UCG,"User Group Conference, 2006 HPC-UGC",IEEE,368
HPCS,"High-Performance Computing in an Advance Collaborative Environment (HPCS), 2006 20th International Symposium on",IEEE,369
HPDC,"High Performance Distributed Computing, 2006 15TH IEEE International Symposium on",IEEE,370
HPSR,"High Performance Switching and Routing, 2007 Workshop on",IEEE,371
HSI,"Human System Interactions, 2008 Conference on",IEEE,372
HUMANOIDS,"Humanoid Robots, 2006 6th IEEE-RAS International Conference on",IEEE,373
I&CPS,"Industrial and Commercial Power Systems Technical Conference - Conference Record, 2007 IEEE",IEEE,374
IAS,"Information Assurance and Security, 2007 3rd International Symposium on",IEEE,375
IAT,"Intelligent Agent Technology (IAT), 2006 IEEE/WIC/ACM International Conference on",IEEE,376
IAW,"Information Assurance Workshop, 2006 IEEE",IEEE,377
IBCAST,"Applied Sciences & Technology, 2007 Proceedings of International Bhurban Conference on",IEEE,378
IC3N,"Computer Communications and Networks - IC3N 2006, 2006 15th International Conference",IEEE,379
ICAC,"Autonomic Computing, 2006 IEEE International Conference on",IEEE,380
ICACT,"Advanced Communication Technology, 2006 8th International Conference",IEEE,381
ICAL,"Automation and Logistics, 2007 IEEE International Conference on",IEEE,382
ICALIP,"Audio, Language and Image Processing, 2008 International Conference on",IEEE,383
ICALT,"Advanced Learning Technologies (ICALT), 2006 6th IEEE International Conference on",IEEE,384
ICAR,"Advanced Robotics,2005 12th International Conference on",IEEE,385
ICARCV,"Control, Automation, Robotics and Vision, 2006 9th International Conference on",IEEE,386
ICAS,"Autonomic and Autonomous Systems (ICAS), 2006 International Conference on",IEEE,387
ICASSP,"Acoustics, Speech and Signal Processing (ICASSP),  2005 IEEE International Conference on",IEEE,388
ICAST,"Advances in Space Technologies, 2006 International Conference on",IEEE,389
ICAT,"Artificial Reality and Telexistence, 2006 16th International Conference on",IEEE,390
ICATT,"Antenna Theory and Techniques, 2005 5th International Conference on",IEEE,391
ICBBE,"Bioinformatics and Biomedical Engineering, 2007 1st International Conference on",IEEE,392
ICBM,"Management of Mobile Business (ICBM), 2007 6th International Conference on the",IEEE,393
ICC,"Communications, 2007 IEEE International Conference on",IEEE,394
ICCA,"Control and Automation, 2007 IEEE International Conference on",IEEE,395
ICCAD,"Computer-Aided Design Digest of Technical Papers, IEEE/ACM International Conference on",IEEE,396
ICCAS,"Control, Automation and Systems, 2007 International Conference on",IEEE,397
ICCBSS,"Commerical-off-the-Shelf (COTS) Based Software Sstems, 2006 5th International Conference",IEEE,398
ICCC,"Computational Cybernetics, 2006 IEEE International Conference on",IEEE,399
ICCCAS,"Communications, Circuits and Systems, 2006 International Conference on",IEEE,400
ICCCE,"Computer and Communication Engineering, 2008 International Conference on",IEEE,401
ICCD,"Computer Design, Proceedings 2006 International Conference on",IEEE,402
ICCDCS,"Devices, Circuits and Systems, 2006 International Caribbean Conference on",IEEE,403
ICCE,"Consumer Electronics, 2007 Digest of Technical Papers International Conference on",IEEE,404
ICCEP,"Clean Electrical Power, 2007 International Conference on",IEEE,405
ICCES,"Computer Engineering & Systems, 2006 International Conference on",IEEE,406
ICCGI,"Computing in Global Information Technology (ICCGI), 2006 International Multi-Conference on",IEEE,407
ICCI,"Cognitive Informatics, 2006 5th IEEE International Conference on",IEEE,408
ICCIMA,"Computational Intelligence and Multimedia, 2005 6th International Conference on",IEEE,409
ICCIT,"Computer and Information Technology, 2007 10th International Conference on",IEEE,410
ICCP,"Intelligent Computer Communication and Processing, 2007 IEEE International Conference on",IEEE,411
ICCS,"Communication Systems, 2006 10th IEEE Singapore International Conference on",IEEE,412
ICCSA,"Computational Science and Applications, 2007 5th International Confernce on",IEEE,413
ICCSC,"Circuits and Systems for Communications, 2008 4th IEEE International Conference on",IEEE,414
ICCST,"Carnahan Conference on Security Technology, Proceedings 41st Annual 2007 International",IEEE,415
ICCT,"Communication Technology, 2006 International Conference on",IEEE,416
ICCTA,"Computing: Theory and Applications (ICCTA), 2007 International Conference on",IEEE,417
ICCV,"Computer Vision (ICCV 2005), 10th IEEE International Conference on",IEEE,418
ICDAR,"Document Analysis and Recognition, 2007 9th International Conference on",IEEE,419
ICDCS,"Distributed Computing Systems (ICDCS), Proceedings 2006 IEEE International Conference on",IEEE,420
ICDCS Wkshp,"Distributed Computing Systems - Workshops, 25th International Conference on  (ICDCS 2005 Workshops)",IEEE,421
ICDCS Wkshps Su,"Distributed Computing Systems - Workshops: Supplement (ICDCS Workshops 2007 Supplement), 2007 27th International Conference",IEEE,422
ICDCS WKSP,"Distributed Computing Systems Workshops (ICDCS Workshop), Proceeding 2006 26th IEEE International Conference on",IEEE,423
ICDCS Workshops,"Distributed Computing Systems Workshops (ICDCS Workshops), 2007 27th International Conference on",IEEE,424
ICDE,"Data Engineering (ICDE 2007), 2007 IEEE 23rd International Conference on",IEEE,425
ICDE Wkshp,"Data Engineering Workshop, 2007 IEEE 23rd International Conference on",IEEE,426
ICDE WKSP,"Data Engineering Workshops (ICDE workshop), 2006 22nd International Conference on",IEEE,427
ICDIM,"Digital Information Management, 2006 1st International Conference on",IEEE,428
ICDL,"Development and Learning, 2007 IEEE 6th International Conference on",IEEE,429
ICDM,"Data Mining, 6th IEEE International Conference on",IEEE,430
ICDM Wkshp,"Data Mining Workshops (ICDM Workshops), 2006 6th IEEE International Conference on",IEEE,431
ICDM Workshops,"Data Mining - Workshops (ICDM Workshops), 2007 Seventh IEEE International Conference on",IEEE,432
ICDS,"Digital Society (ICDS), 2007 1st International Conference on",IEEE,433
ICDSC,"Distributed Smart Cameras, 2007 First ACM/IEEE International Conference on",IEEE,434
ICDT,"Digital Telecommunications (ICDT), 2006 International Conference on",IEEE,435
ICEAA,"Electromagnetics in Advanced Applications, 2007 International Conference on",IEEE,436
ICEBE,"e-Business Engineering (ICEBE), 2006 IEEE International Conference on",IEEE,437
ICECCS,"Engineering of Complex Systems (ICECCS 2006), 2006 11th IEEE International Conference on",IEEE,438
ICECE,"Electrical and Computer Engineering, 2006 International Conference on",IEEE,439
ICECom,"Applied Electromagnetics and Communications, 2007 19th International Conference on",IEEE,440
ICECS,"Electronics, Circuits and Systems, 2006 13th IEEE International Conference on",IEEE,441
ICEE,"Electrical Engineering, 2007 International Conference on",IEEE,442
ICEEE,"Electrical and Electronics Engineering, 2007 4th International Conference on",IEEE,443
ICEFA,"Electric Fuses and their Applications, 2007 Proceedings of the 8th Intl Conf on",IEEE,444
ICEIS,"Engineering of Intelligent Systems, 2006 IEEE International Conference on",IEEE,445
ICELIE,"E-Learning in Industrial Electronics, 2006 1ST IEEE International Conference on",IEEE,446
ICEM,"Electrical Machines, 2006 Proceedings of the XVII International Conference on",IEEE,447
ICEMI,"Electronic Measurement & Instruments, 2007 8th International Conference on",IEEE,448
ICEMS,"Electrical Machines and Systems, 2007 International Conference on",IEEE,449
ICEPT,"Electronic Packaging Technology, 2007 8th International Conference on",IEEE,450
ICET,"Emerging Technologies, 2006 International Conference on",IEEE,451
ICGSE,"Global Software Engineering (ICGSE), 2006 1st IEEE International Conference",IEEE,452
ICHIT,"Hybrid Information Technology (ICHIT), 2006 International Confernce on",IEEE,453
ICHQP,"Harmonics and Quality of Power (ICHQP), 2008 13th International Conference on",IEEE,454
ICI,"Internet, 2006 2nd IEEE/IFIP International Conference in Central Asia on",IEEE,455
ICIA,"Information Acquisition, 2006 International Conference on",IEEE,456
ICIAFS,"Information and Automation for Sustainability, 2007 Third International Conference on",IEEE,457
ICIAP,"Image Anaylsis & Processing, 2007 14th International Conference on",IEEE,458
ICIAPW,"Image Analysis and Processing Workshops, 2007 International Conference on",IEEE,459
ICIAS,"Intelligent and Advanced Systems, 2007 International Conference on",IEEE,460
ICIASF,"Instrumentation in Aerospace Simulation Facilities, 2005 21st International Congress on",IEEE,461
ICICDT,"IC Design & Technology, 2007 IEEE International Conference on",IEEE,462
ICICIC,"Innovative Computing Information and Control (ICICIC), 2006 1st Internatonal Conference on",IEEE,463
ICICS,"Information, Communications & Signal Processing, 2007 6th International Conference on",IEEE,464
ICICSE,"Internet Computing in Science and Engineering, 2008 International Conference on",IEEE,465
ICICT,"Information & Communications Technology, 2007 ITI 5th International Conference on",IEEE,466
ICIEA,"Industrial Electronics and Applications, 2007 2nd IEEE Conference on",IEEE,467
ICIECA,"Industrial Electronics and Control Applications (ICIECA), 2005 International Conference on",IEEE,468
ICIET,"Information and Emerging Technologies, 2007 International Conference on",IEEE,469
ICIG,"Image and Graphics, 2007 4th International Conference on",IEEE,470
ICIIS,"Industrial and Information Systems, 2006 International Conference on",IEEE,471
ICIMP,"Internet Monitoring and Protection, 2007 2nd International Conference on",IEEE,472
ICIP,"Image Processing, 2006 IEEE International Conference on",IEEE,473
ICIS,"Computer & Information Science (ICIS), 2007 International Conference on",IEEE,474
ICISIP,"Intelligent Sensing and Information Processing, 2005 3rd International Conference on",IEEE,475
ICISP,"Internet Surveillance and Protection (ICISP), 2006 International Conference on",IEEE,476
ICISS,"Information Science and Security (ICISS), 2008 International Conference on",IEEE,477
ICIT,"Information Technology, 2006 9th International Conference on",IEEE,478
ICIW,"Internet and Web Applications and Services (ICIW), 2007 2nd International Conference on",IEEE,479
ICKS,"Informatics Research for Development of Knowledge Society Infrastructure, 2007 International Conference on",IEEE,480
ICM,"Microelectronics, 2006 International Conference on",IEEE,481
ICMA,"Mechatronics and Automation, 2006 International Conference on",IEEE,482
ICMB,"Mobile Business (ICMB), 2006 International Conference on",IEEE,483
ICME,"Multimedia and Expo, 2007 IEEE International Conference on",IEEE,484
ICMENS,"MEMS, NANO, and Smart Systems, 2006 International Conference on",IEEE,485
ICMIT,"Management of Innovation & Technology, 2006 IEEE International Conference on",IEEE,486
ICMLA,"Machine Learning and Applications (ICMLA), 2006 International Conference on",IEEE,487
ICMLC,"Machine Learning and Cybernetics, Proceedings of 2006 International Conference on",IEEE,488
ICMMT,"Microwave and Millimeter Wave Technology, 2007 International Conference on",IEEE,489
ICMSE,"Management Science and Engineering, 2006 International Conference on",IEEE,490
ICMTS,"Microelectronics Test Structures, 2007 IEEE International Conference on",IEEE,491
ICMV,"Machine Vision, 2007 International Conference on",IEEE,492
ICN,"Networking (ICN), 2007 IEEE 6th International Conference on",IEEE,493
ICN/ICONS,"Networking and the International Conference on Systems (ICN/ICONS), 2006 5th International Conference on",IEEE,494
ICNC,"Natural Computation (ICNC), 2007 International Conference on",IEEE,495
ICNLP,"Natural Language Processing and Knowledge Engineering, 2005 International Conference  on",IEEE,496
ICNNB,"Neural Networks and Brain (ICNNB),  2005 International Conference on",IEEE,497
ICNP,"Network Protocols, Proceedings of the 2006 IEEE International Conference on",IEEE,498
ICNS,"Networking and Services (ICNS), 2006 International Conference on",IEEE,499
ICNSC,"Networking, Sensing and Control (ICNSC), 2006 IEEE Intl",IEEE,500
ICOCI,"Computing & Informatics, 2006 International Conference on",IEEE,501
ICOIN,"Information Networking, 2008 The International Conference on",IEEE,502
ICON,"Networks, 2006 14th IEEE International Conference on",IEEE,503
ICONN,"Nanoscience and Nanotechnology, 2006 International Conference on",IEEE,504
ICONS,"Systems (ICONS), 2007 2nd International Conference on",IEEE,505
ICOPS,"Plasma Science, IEEE Conference Record - Abstracts 2007 IEEE International Conference on",IEEE,506
ICORR,"Rehabilitation Robotics, 2007 IEEE 10th International Conference on",IEEE,507
ICPADM,"Properties & Applications of Dielectric Materials, 2006 IEEE 8th International Conference on",IEEE,508
ICPADS,"Parallel and Distributed Systems (ICPADS), 2006 12th International Conference on",IEEE,509
ICPC,"Program Comprehension (ICPC), 2006 14th International Conference on",IEEE,510
ICPCA,"Pervasive Computing and Applications, 2007 2nd International Conference on",IEEE,511
ICPESA,"Power Electronics Systems and Applications, 2006 2nd International Conference on",IEEE,512
ICPP,"Parallel Processing (ICPP), 2006 International Conference on",IEEE,513
ICPP WKSHP,"Parallel Processing Workshops (ICPP 2006 workshops), 2006 International Conference on",IEEE,514
ICPR,"Pattern Recognition (ICPR), 2006 18th International Conference on",IEEE,515
ICPS,"Pervasive Services, 2006 ACS/IEEE International Conference on",IEEE,516
ICPWC,"Personal Wireless Communications, 2005 International Conference on",IEEE,517
ICQNM,"Quantum, Nano and Micro Technologies, 2008 Second International Conference on",IEEE,518
ICRA,"Robotics and Automation, 2005 IEEE International Conference on",IEEE,519
ICRE,"Requirements Engineering, 2005 13th IEEE International Conference on",IEEE,520
ICSC,"Semantic Computing (ICSC), 2007 1st IEEE International Conference on",IEEE,521
ICSCN,"Signal Processing, Communications and Networking, 2007 International Conference on",IEEE,522
ICSD,"Solid Dielectrics, 2007 IEEE International Conference on",IEEE,523
ICSE,"Semiconductor Electronics, 2006 IEEE International Conference on",IEEE,524
ICSEA,"Software Engineering Advances (ICSEA), 2006 International Conferenc on",IEEE,525
ICSE-Companion,"Software Engineering-Companion Volume, 2007 29th International Conference on",IEEE,526
ICSEM,"Systems Engineering and Modeling, 2007 International Conference on",IEEE,527
ICSES,"Signals and Electronic Systems (ICSES), 2008 International Conference on",IEEE,528
ICSET,"Sustainable Energy Technologies, 2008 IEEE International Conference on",IEEE,529
ICSICT,"Solid State and Integrated Circuits Technology (ICSICT), 2006 8th International Conference on",IEEE,530
ICSM,"Software Maintenance (ICSM), 2007 IEEE International Conference on",IEEE,531
ICSMA,"Smart Manufacturing Application, 2008 International Conference on",IEEE,532
ICSNC,"Systems and Networks Communications (ICSNC), 2006 International Conference on",IEEE,533
ICSP,"Signal Processing, 2006 8th International Conference on",IEEE,534
ICSPC,"Signal Processing and Communications, 2007 IEEE International Conference on",IEEE,535
ICSSM,"Service Systems and Service Management, 2007 International Conference on",IEEE,536
ICSSSM,"Service Systems and Service Management, 2006 International Conference on",IEEE,537
ICST,"Software Testing, Verification and Validation, 2008 1st IEEE International Conference on",IEEE,538
ICT,"Thermoelectrics (ICT 2005),  2005 24th International Conference on",IEEE,539
ICTAI,"Tools with Artificial Intelligence (ICTAI), 2006 IEEE Conference on",IEEE,540
ICTD,"Information and Communication Technologies and Development, 2007 International Conference on",IEEE,541
ICT-MICC,"Telecommunications & Malaysia International Conference on Communications, 2007 IEEE International Conf. on",IEEE,542
ICTON,"Transparent Optical Networks, 2006 International Conference on",IEEE,543
ICTTA,"Information & Communication Technologies, 2006 2nd International Conference on",IEEE,544
ICU,"Ultra-Wideband, 2005 IEEE International Conference on",IEEE,545
ICUWB,"Ultra-Wideband, 2007 IEEE International Conference on",IEEE,546
ICVE,"Vacuum Electronics Conference, 2007 IEEE International",IEEE,547
ICVES,"Vehicular Electronics and Safety, 2006 IEEE International Conference on",IEEE,548
ICVS,"Computer Vision Systems (ICVS), Proceedings 2006 IEEE International Conference on",IEEE,549
ICWAPR,"Wavelet Analysis and Pattern Recognition, 2007 International Conference on",IEEE,550
ICWMC,"Wireless and Mobile Communications (ICWMC), 2006 International Conference on",IEEE,551
ICWS,"Web Services (ICWS), 2006 IEEE International Conference on",IEEE,552
IDAACS,"Intelligent Data Acquisition and Advanced Computing Systems Technology and Applications, 2005",IEEE,553
IDC,"Information Decision and Control (IDC), 2007",IEEE,554
IDEAS,"Database Engineering and Applications Symposium (IDEAS), 2006 10th International",IEEE,555
IDT,"Design and Test Workshop, 2007 2nd International",IEEE,556
IECON,"Industrial Electronics IECON, 2005 - 31st Annual Conference of IEEE",IEEE,557
IEDM,"Electron Devices Meeting (IEDM), 2006 IEEE International",IEEE,558
IEEE,"LEOS Summer Topical Meetings, 2008 Digest of the",IEEE,559
IEEE-NANO,"Nanotechnology, 2007 7th IEEE Conference on",IEEE,560
IEEM,"Industrial Engineering and Engineering Management, 2007 IEEE International Conference on",IEEE,561
IEMC,"Engineering Management Conference, 2005 IEEE International",IEEE,562
IEMDC,"Electric Machines & Drives Conference, 2005 IEEE International",IEEE,563
IEMT,"Electronics Manufacturing Technology Symposium, 2006 Thirty-First IEEE/CPMT International",IEEE,564
IFOST,"Strategic Technology, 2006 International Forum on",IEEE,565
IGARSS,"Geoscience and Remote Sensing Symposium, 2005 IEEE International",IEEE,566
IIHMSP,"Intelligent Information Hiding and Multimedia Signal Processing (IIHMSP 2007), 2007 Third International Conference on",IEEE,567
IIH-MSP,"Intelligent Information Hiding and Multimedia Signal Processing (IIH-MSP), 2006 International Conference on",IEEE,568
IISWC,"Workload Characterization (IISWC), 2005 IEEE 8th International Symposium on",IEEE,569
IITA,"Intelligent Information Technology Application, 2007 Workshop on",IEEE,570
IITC,"Interconnect Technology Conference, 2007 IEEE International",IEEE,571
IJCNN,"Neural Network Proceedings, The 2006 IEEE International Joint Conference on",IEEE,572
IM,"Integrated Network Management, 2007 10th IFIP/IEEE International Symposium on",IEEE,573
IMOC,"Microwave and Optoelectronics Conference, 2007 SBMO/IEEE MTT-S International",IEEE,574
IMPACT,"Microsystems, Package, Assembly Conference Taiwan, 2006 International",IEEE,575
IMS,"Measurement Systems for Homeland Security, Contraband Detection & Personal Safety, 2006 IEEE International Workshop on",IEEE,576
IMSCCS,"Computer and Computational Sciences (IMSCCS), 2006 International Multi-Symposium on",IEEE,577
IMTC,"Instrumentation and Measurement Technology Conference Proceedings, 2007 IEEE",IEEE,578
IMVIP,"Machine Vision and Image Processing Conference, 2007 International",IEEE,579
INCC,"Networking and Communications Conference, 2008 IEEE International",IEEE,580
INDICON,"India Conference, 2006 Annual IEEE",IEEE,581
INDIN,"Industrial Informatics, 2005 3rd IEEE International Conference on",IEEE,582
INES,"Intelligent Engineering Systems, 2006 International Conference on",IEEE,583
INFOCOM,INFOCOM 2005,IEEE,584
INFOVIS,"Information Visualization, 2005 IEEE Symposium on",IEEE,585
INICA,"Antenna, INICA 2007 International Conference on",IEEE,586
INMIC,"Multitopic Conference, 2006 IEEE International",IEEE,587
INMMIC,"Integrated Nonlinear Microwave and Millimetre-Wave Circuits, 2006 International Workshop on",IEEE,588
Innovations,"Innovations in Information Technologies, 2007",IEEE,589
i-NOW,"Nano-Optoelectronics Workshop, 2007 International",IEEE,590
INSS,"Networked Sensing Systems Technical Digest, 2007 Fourth International Conf",IEEE,591
INTELEC,"Telecommunications Energy Conference, INTELEC 06 - Twenty-Eighth International",IEEE,592
IOLTS,"On-Line Testing Symposium (IOLTS), 2006 IEEE International",IEEE,593
IPC,"Intelligent Pervasive Computing, 2007 International Conference on",IEEE,594
IPCC,"Professional Communication Conference, 2007 IEEE International",IEEE,595
IPCCC,"Performance Computing and Communications Conference, 2006 IEEE International",IEEE,596
IPDPS,"Parallel & Distributed Processing Symposium (IPDPS), 2007 IEEE International",IEEE,597
IPEC,"IPEC, 2007 Conference Proceedings",IEEE,598
IPEMC,"Power Electronics and Motion Control Conference, 2006 5th International",IEEE,599
IPFA,"Physical and Failure Analysis of Integrated Circuit, 2007 14th International Symposium on the",IEEE,600
IPMC,"Power Modulator Conference, 2008 IEEE International",IEEE,601
IPRM,"Indium Phosphide and Related Materials, 2007 International Conference on",IEEE,602
IPSN,"Information Processing in Sensor Networks, Proceedings of the Sixth International Symposium on",IEEE,603
IRI,"Information Reuse & Integration, 2006 IEEE International Conference on",IEEE,604
IRMMW-THz,"Infrared, Millimeter and Terahertz Waves, 2008 33rd International Conference on",IEEE,605
IROS,"Intelligent Robots and Systems, 2005 IEEE/RSJ International Conference on",IEEE,606
IRPS,"Reliability Physics Symposium Proceedings, 2007 IEEE International",IEEE,607
IRS,"Radar Symposium IRS, 2008 Proceedings International",IEEE,608
IRT,"Interactive Ray Tracing, 2006 IEEE Symposium on",IEEE,609
IRW,"Integrated Reliability Workshop Final Report, 2007 IEEE International",IEEE,610
IRWS,"Integrated Reliability Workshop Final Report, 2006 IEEE International",IEEE,611
IS,"Intelligent Systems, 2008 4th International IEEE Conference",IEEE,612
ISA,"Information Security and Assurance, 2008 International Conference on",IEEE,613
ISADS,"Autonomous Decentralized Systems (ISADS 2007), 2007 International Symposium on",IEEE,614
ISAF,"Applications of Ferroelectrics, 2006 15th IEEE International Symposium on",IEEE,615
ISAHUC,"Ad Hoc and Ubiquitous Computing, 2006 International Symposium on",IEEE,616
ISAM,"Assembly and Manufacturing, 2007 IEEE International Symposium on",IEEE,617
ISAP,"Intelligent Systems Applications to Power Systems, 2005 International Conference on",IEEE,618
ISAPE,"Antennas, Propagation & EM Theory, 2006 7th International Symposium on",IEEE,619
ISATP,"Assembly and Task Planning, 2005 IEEE International Symposium on",IEEE,620
ISBI,"Biomedical Imaging:  Macro to Nano, 2006 3rd IEEE International Symposium on",IEEE,621
ISCA,"Computer Architecture, 32nd International Symposium on  (ISCA 2005)",IEEE,622
ISCAS,"Circuits and Systems, Proceedings of 2007 IEEE International Symposium on",IEEE,623
ISCC,"Computers and Communications, 2005 10th IEEE Symposium on",IEEE,624
ISCCSP,"Communications, Control and Signal Processing, 2008 3rd International Symposium on",IEEE,625
ISCE,"Consumer Electronics, 2006 IEEE International Symposium on",IEEE,626
ISCIII,"Computational Intelligence and Intelligent Informatics, 2007 International Symposium on",IEEE,627
ISCIS,"Computer and Information Sciences, 2007 22nd International Symposium on",IEEE,628
ISCIT,"Communications and Information Technologies, 2007 International Symposium on",IEEE,629
ISCN,"Computer Networks, 2006 International Symposium on",IEEE,630
ISDA,"Intelligent Systems Designs and Applications (ISDA 2006), 6th International Conference on",IEEE,631
ISDEIV,"Discharges & Electrical Insulation in Vacuum, 2006 XXII International Symposium on",IEEE,632
ISDPE,"Data, Privacy and E-commerce (ISDPE), 2007 First International Symposium on",IEEE,633
ISDRS,"Semiconductor Device Research Symposium (ISDRS), 2005 International",IEEE,634
ISE,"Electrets, 2005 12th International Symposium on",IEEE,635
ISEE,"Electronics and the Environment, 2005 IEEE International Symposium on",IEEE,636
ISEI,"Electrical Insulation, Conference Record of the 2006 IEEE International Symposium on",IEEE,637
ISEIM,"Environment Identities and Mediterranean Area, 2006 First International Symposium on",IEEE,638
ISESE,"Empirical Software Engineering, 2005 International Symposium on",IEEE,639
ISI,"Intelligence and Security Informatics, 2007 IEEE",IEEE,640
ISIC,"Intelligent Control, Proceedings of the 2007 IEEE International Symposium on",IEEE,641
ISIE,"Industrial Electronics, 2005 IEEE International Symposium on",IEEE,642
ISIP,"Information Processing, 2008 International Symposiums on",IEEE,643
ISIT,"Information Theory, 2005 IEEE International Symposium on",IEEE,644
ISITA,"Information Theory and its Applications, 2008 International Symposium on",IEEE,645
ISITAE,"Information Technologies and Applications in Education,2007 First IEEE International Symposium on",IEEE,646
ISITC,"Information Technology Convergence (ISITC), 2007 International Symposium on",IEEE,647
ISKE,"Intelligent System and Knowledge Engineering, 2008 3rd International Conference on",IEEE,648
ISLC,"Semiconductor Laser Conference, 2006 IEEE 20th International",IEEE,649
ISLPED,"Low Power Electronics and Design, 2006 Proceedings of the International Symposium on",IEEE,650
ISM,"Multimedia (ISM), 2006 IEEE International Symposium on",IEEE,651
ISM Workshops,"Multimedia - Workshops, 2007 Ninth IEEE International Symposium on",IEEE,652
ISMA,"Mechatronics and its Applications, 2008 5th International Symposium on",IEEE,653
ISMAR,"Mixed and Augmented Reality (ISMAR), 2006 IEEE/ACM International Symposium on",IEEE,654
ISMVL,"Multiple-Valued Logic, 2006 International Symposium on",IEEE,655
ISNCC,"Nonsinusoidal Currents and Compensation, 2008 International School on",IEEE,656
ISoLA,"Leveraging Applications of Formal Methods, Verification and Validation (ISoLA), 2006 Second International Symposium on",IEEE,657
ISORC,"Object Oriented Real-Time Distributed Computing (ISORC), 2006 IEEE 9th Symposium on",IEEE,658
ISPA,"Image and Signal Processing and Analysis, Proceedings of the 5th International Symposium on",IEEE,659
ISPACS,"Intelligent Signal Processing and Communications, 2006 International Symposium on",IEEE,660
I-SPAN,"Parallel Architectures, Algorithms, and Networks, 2008 International Symposium on",IEEE,661
ISPASS,"Performance Analysis of Systems & Software, 2006 IEEE International Symposium on",IEEE,662
ISPCS,"Precision Clock Synchronization for Measurement, Control and Communication, 2007 IEEE International Symposium on",IEEE,663
ISPDC,"Parallel and Distributed Computing (ISPDC), 2006 5th International Symposium on",IEEE,664
ISPLC,"Power Line Communications and Its Applications, 2006 IEEE Intl Symp on",IEEE,665
ISPSD,"Power Semiconductor Devices & IC's, 2007 International Symposium on",IEEE,666
ISQED,"Quality Electronic Design, 2006 7th International Symposium  (ISQED)",IEEE,667
ISSCAA,"Systems and Control in Aerospace and Astronautics, 2006 1st International Symposium on",IEEE,668
ISSCC,"Solid-State Circuits Conference, 2005 IEEE International",IEEE,669
ISSCS,"Signals, Circuits and Systems, 2007 International Symposium on",IEEE,670
ISSE,"Electronics Technology, 2006 29th International Spring Seminar on",IEEE,671
ISSM,"Semiconductor Manufacturing, 2006 IEEE International Symposium on",IEEE,672
ISSNIP,"Intelligent Sensors, Sensor Networks and Information Processing, 2005 International Conference on",IEEE,673
ISSPA,"Signal Processing and its Applications, 2007 9th International Symposium on",IEEE,674
ISSPIT,"Signal Processing and Information Technology, 2006 IEEE International Symposium on",IEEE,675
ISSRE,"Software Reliability Engineering (ISSRE), 2006 17th IEEE International Symposium on",IEEE,676
ISSSE,"Signals, Systems and Electronics, 2007 Intl Symp on",IEEE,677
